# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,aux_loss,mean_win_rate,mean_episode_len
0,1616098920.974706,0,-51.114871978759766,-1.0045453310012817,-62.2675895690918,10.885883331298828,-0.06758077442646027,0.3344148099422455,0.09848485141992569,11.07575798034668
1,1616098931.582311,1920,-20.82848358154297,-1.047851800918579,-25.7343807220459,4.709868431091309,-0.06769955903291702,0.26372939348220825,0.11851851642131805,15.244444847106934
2,1616098942.1832876,3840,-20.63684844970703,-1.007226824760437,-25.20707893371582,4.373566627502441,-0.06729400902986526,0.26395562291145325,0.13445378839969635,14.806722640991211
# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,aux_loss,mean_win_rate,mean_episode_len
0,1616711417.515462,0,-41.395118713378906,-0.9514034986495972,-51.7695198059082,10.040533065795898,-0.06692684441804886,0.40079355239868164,0.15789473056793213,14.359648704528809
1,1616711429.7740865,1920,-26.621667861938477,-0.9278260469436646,-34.590484619140625,7.738157272338867,-0.06791549921035767,0.2985740303993225,0.1666666716337204,14.057971000671387
2,1616711441.3081324,3840,-33.61058807373047,-1.008767008781433,-41.04597091674805,7.203632831573486,-0.06690160185098648,0.2986530363559723,0.1164383590221405,13.082191467285156
3,1616711454.419431,5760,-24.514362335205078,-0.9347444176673889,-31.979270935058594,7.233665466308594,-0.06738939136266708,0.29863184690475464,0.16058394312858582,13.79561996459961
# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,aux_loss,mean_win_rate,mean_episode_len
0,1616790438.1658065,0,-55.59514236450195,-1.0590697526931763,-68.41874694824219,12.49676513671875,-0.06650880724191666,0.3933503031730652,0.09302325546741486,13.255813598632812
# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,aux_loss,mean_win_rate,mean_episode_len
0,1616790987.0747313,0,-54.67453384399414,-1.1215384006500244,-64.6906967163086,10.083938598632812,-0.06777655333280563,0.0,0.08791209012269974,15.868131637573242
1,1616790998.1018088,1920,-28.204395294189453,-1.2438459396362305,-32.15309143066406,4.014749526977539,-0.06605251878499985,0.0,0.10256410390138626,23.44871711730957
2,1616791009.0285664,3840,-32.65370559692383,-1.1527433395385742,-37.509361267089844,4.922569274902344,-0.0669126808643341,0.0,0.08849557489156723,17.486724853515625
3,1616791019.8805559,5760,-29.901376724243164,-1.0784872770309448,-35.52545928955078,5.690641403198242,-0.06655851006507874,0.0,0.1260504275560379,17.52941131591797
# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,aux_loss,mean_win_rate,mean_episode_len
0,1616791222.0058033,0,-33.05694580078125,-0.8694016933441162,-41.3079948425293,7.955629348754883,-0.06697924435138702,0.3623949885368347,0.1794871836900711,12.418803215026855
1,1616791233.3145025,1920,-23.490283966064453,-1.0992480516433716,-28.40927505493164,4.715999603271484,-0.0681430920958519,0.2711351811885834,0.10526315867900848,16.48872184753418
2,1616791244.3991928,3840,-20.271852493286133,-1.0272728204727173,-25.44509506225586,4.969919204711914,-0.0679246038198471,0.2712474465370178,0.1118881106376648,13.552447319030762
3,1616791255.3613386,5760,-22.316377639770508,-0.9920512437820435,-28.212505340576172,5.691930770874023,-0.06687112897634506,0.271068811416626,0.11538461595773697,12.14102554321289
# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,aux_loss,mean_win_rate,mean_episode_len
0,1616791800.843623,0,-41.90617752075195,-0.9896551966667175,-50.75669860839844,8.598506927490234,-0.06816790997982025,0.3201828598976135,0.12931033968925476,13.413793563842773
1,1616791812.1249251,1920,-14.442503929138184,-1.0058823823928833,-17.783498764038086,3.147108793258667,-0.06676153838634491,0.26064780354499817,0.1666666716337204,17.960784912109375
2,1616791823.2359655,3840,-17.285402297973633,-0.9841725826263428,-21.87993812561035,4.4007487297058105,-0.06700892001390457,0.2607956528663635,0.14388489723205566,14.597122192382812
3,1616791834.3070316,5760,-12.93934154510498,-0.9534958004951477,-17.49164390563965,4.357658863067627,-0.06612075865268707,0.2607649564743042,0.17886178195476532,16.560976028442383
# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,aux_loss,mean_win_rate,mean_episode_len
0,1616793546.4867597,0,-46.65479278564453,-0.9987401962280273,-58.97069549560547,12.00837230682373,-0.06665272265672684,0.3741855323314667,0.11811023950576782,12.748031616210938
1,1616793557.3182518,1920,-25.638614654541016,-1.0380700826644897,-30.476051330566406,4.61182975769043,-0.06602994352579117,0.29163751006126404,0.1315789520740509,16.061403274536133
2,1616793568.31943,3840,-18.84086799621582,-0.9439998865127563,-24.300371170043945,5.233505725860596,-0.06564415246248245,0.29164212942123413,0.1818181872367859,16.381818771362305
3,1616793579.1859627,5760,-21.43415641784668,-1.0138709545135498,-27.22852325439453,5.570107460021973,-0.06748414039611816,0.2917451560497284,0.15322580933570862,17.016128540039062
